presentation_table,cell,complete,expected_seeds,group,included_seeds,mean,metric,metric_label,n_seeds,sd,table
Static_learned-policy_evaluation_depstatic_n7_r1,C2|mean|crew_rule,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.05840000000000001,false_ejection_rate,false_ejection_rate,5,0.017854971296532518,learned
Static_learned-policy_evaluation_depstatic_n7_r1,C2|median|crew_rule,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.2764,false_ejection_rate,false_ejection_rate,5,0.07230006915626014,learned
Static_learned-policy_evaluation_depstatic_n7_r1,C2|sharp_credibility|crew_rule,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.154,false_ejection_rate,false_ejection_rate,5,0.03432200460346103,learned
Static_learned-policy_evaluation_depstatic_n7_r1,C2|soft_credibility|crew_rule,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.0924,false_ejection_rate,false_ejection_rate,5,0.02140794245134268,learned
Static_learned-policy_evaluation_depstatic_n7_r1,C2|trimmed|crew_rule,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.24539999999999998,false_ejection_rate,false_ejection_rate,5,0.045500549447231954,learned
Static_learned-policy_evaluation_depstatic_n7_r1,C3|dependence_aware|both,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.11420000000000001,false_ejection_rate,false_ejection_rate,5,0.01887326150934173,learned
Static_learned-policy_evaluation_depstatic_n7_r1,C3|dependence_aware|crew_rule,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.0756,false_ejection_rate,false_ejection_rate,5,0.02314735406045365,learned
Static_learned-policy_evaluation_depstatic_n7_r1,C3|hypothesis|crew_rule,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.0498,false_ejection_rate,false_ejection_rate,5,0.021580083410404138,learned
Static_learned-policy_evaluation_depstatic_n7_r1,C3|mean|crew_rule,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.044599999999999994,false_ejection_rate,false_ejection_rate,5,0.01621110730332756,learned
Static_learned-policy_evaluation_depstatic_n7_r1,C3|median|crew_rule,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.2654,false_ejection_rate,false_ejection_rate,5,0.0604342618057009,learned
Static_learned-policy_evaluation_depstatic_n7_r1,C3|sharp_credibility|crew_rule,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.1484,false_ejection_rate,false_ejection_rate,5,0.027263528751795867,learned
Static_learned-policy_evaluation_depstatic_n7_r1,C3|soft_credibility|crew_rule,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.08,false_ejection_rate,false_ejection_rate,5,0.019761072845369505,learned
Static_learned-policy_evaluation_depstatic_n7_r1,C3|trimmed|crew_rule,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.2278,false_ejection_rate,false_ejection_rate,5,0.03707694701563224,learned
Dependence_strength_sweep_depstatic_n7_r1,alibi|both|0.0,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.41879999999999995,false_ejection_rate,false_ejection_rate,5,0.004086563348340513,strength_sweep
Dependence_strength_sweep_depstatic_n7_r1,alibi|both|1.0,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.43039999999999995,false_ejection_rate,false_ejection_rate,5,0.011414902540100825,strength_sweep
Dependence_strength_sweep_depstatic_n7_r1,alibi|both|2.0,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.42400000000000004,false_ejection_rate,false_ejection_rate,5,0.007382411530116707,strength_sweep
Dependence_strength_sweep_depstatic_n7_r1,alibi|both|4.0,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.3858,false_ejection_rate,false_ejection_rate,5,0.021264994709616084,strength_sweep
Dependence_strength_sweep_depstatic_n7_r1,alibi|both|6.0,True,"[0, 1, 2, 3, 4]",depstatic_n7_r1,"[0, 1, 2, 3, 4]",0.362,false_ejection_rate,false_ejection_rate,5,0.018973665961010275,strength_sweep
