kind,crew,condition,rule,variant,metric,n_replicates,mean,sd,minimum,maximum,replicate_values
outcome,3,alibi,soft_credibility,alibi_off,no_ejection_rate,10,0.6272000000000001,0.0193264355511075,0.596,0.658,"[0.658,0.626,0.596,0.64,0.63,0.6,0.646,0.616,0.626,0.634]"
outcome,3,alibi,soft_credibility,baseline,coalition_favorable_rate,10,1.0,0.0,1.0,1.0,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
outcome,3,alibi,soft_credibility,baseline,creator_ejection_rate,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
outcome,3,alibi,soft_credibility,baseline,creator_survival,10,1.0,0.0,1.0,1.0,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
outcome,3,alibi,soft_credibility,baseline,false_ejection_rate,10,0.5288,0.02376178070394182,0.49,0.58,"[0.49,0.532,0.58,0.52,0.532,0.532,0.506,0.54,0.518,0.538]"
outcome,3,alibi,soft_credibility,baseline,incident_rate,10,1.0,0.0,1.0,1.0,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
outcome,3,alibi,soft_credibility,baseline,no_ejection_rate,10,0.47119999999999995,0.023761780703941828,0.42,0.51,"[0.51,0.468,0.42,0.48,0.468,0.468,0.494,0.46,0.482,0.462]"
outcome,3,alibi,soft_credibility,catch_outside,coalition_favorable_rate,10,1.0,0.0,1.0,1.0,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
outcome,3,alibi,soft_credibility,catch_outside,creator_ejection_rate,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
outcome,3,alibi,soft_credibility,catch_outside,creator_survival,10,1.0,0.0,1.0,1.0,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
