crew,condition,rule,variant,metric,replicate,value,kind
3,alibi,soft_credibility,alibi_off,no_ejection_rate,0,0.658,outcome
3,alibi,soft_credibility,alibi_off,incident_rate,0,1.0,outcome
3,alibi,soft_credibility,catch_outside,false_ejection_rate,0,0.48,outcome
3,alibi,soft_credibility,catch_outside,coalition_favorable_rate,0,1.0,outcome
3,alibi,soft_credibility,catch_outside,creator_ejection_rate,0,0.0,outcome
3,alibi,soft_credibility,catch_outside,creator_survival,0,1.0,outcome
3,alibi,soft_credibility,catch_outside,no_ejection_rate,0,0.52,outcome
3,alibi,soft_credibility,catch_outside,incident_rate,0,1.0,outcome
3,alibi,sharp_credibility,baseline,false_ejection_rate,0,0.486,outcome
3,alibi,sharp_credibility,baseline,coalition_favorable_rate,0,1.0,outcome
3,alibi,sharp_credibility,baseline,creator_ejection_rate,0,0.0,outcome
3,alibi,sharp_credibility,baseline,creator_survival,0,1.0,outcome
3,alibi,sharp_credibility,baseline,no_ejection_rate,0,0.514,outcome
3,alibi,sharp_credibility,baseline,incident_rate,0,1.0,outcome
3,alibi,sharp_credibility,alibi_off,false_ejection_rate,0,0.41,outcome
3,alibi,sharp_credibility,alibi_off,coalition_favorable_rate,0,1.0,outcome
3,alibi,sharp_credibility,alibi_off,creator_ejection_rate,0,0.0,outcome
3,alibi,sharp_credibility,alibi_off,creator_survival,0,1.0,outcome
3,alibi,sharp_credibility,alibi_off,no_ejection_rate,0,0.59,outcome
3,alibi,sharp_credibility,alibi_off,incident_rate,0,1.0,outcome
3,alibi,sharp_credibility,catch_outside,false_ejection_rate,0,0.44,outcome
3,alibi,sharp_credibility,catch_outside,coalition_favorable_rate,0,1.0,outcome
3,alibi,sharp_credibility,catch_outside,creator_ejection_rate,0,0.0,outcome
3,alibi,sharp_credibility,catch_outside,creator_survival,0,1.0,outcome
3,alibi,sharp_credibility,catch_outside,no_ejection_rate,0,0.56,outcome
3,alibi,sharp_credibility,catch_outside,incident_rate,0,1.0,outcome
3,framer,mean,baseline,false_ejection_rate,0,0.558,outcome
3,framer,mean,baseline,coalition_favorable_rate,0,1.0,outcome
3,framer,mean,baseline,creator_ejection_rate,0,0.0,outcome
