crew,condition,rule,metric,contrast,n_replicates,mean,sd,minimum,maximum,replicate_values,variant
3,alibi,sharp_credibility,creator_survival,catch_outside minus baseline,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",
3,alibi,,creator_survival,sharp_credibility minus mean,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",catch_outside
3,alibi,sharp_credibility,false_ejection_rate,catch_outside minus baseline,10,-0.06160000000000001,0.015283978539634244,-0.08399999999999996,-0.033999999999999975,"[-0.045999999999999985,-0.05199999999999999,-0.08399999999999996,-0.064,-0.07400000000000001,-0.033999999999999975,-0.068,-0.05600000000000005,-0.06,-0.07800000000000001]",
3,alibi,,false_ejection_rate,sharp_credibility minus mean,10,-0.06520000000000001,0.014335658726096654,-0.08399999999999996,-0.03999999999999998,"[-0.04199999999999998,-0.07,-0.08399999999999996,-0.07,-0.07400000000000001,-0.03999999999999998,-0.068,-0.05800000000000005,-0.07600000000000001,-0.07]",catch_outside
3,alibi,sharp_credibility,incident_rate,catch_outside minus baseline,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",
3,alibi,,incident_rate,sharp_credibility minus mean,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",catch_outside
3,alibi,sharp_credibility,no_ejection_rate,catch_outside minus baseline,10,0.06160000000000002,0.01528397853963424,0.03400000000000003,0.08400000000000002,"[0.04600000000000004,0.052000000000000046,0.08400000000000002,0.06399999999999995,0.07400000000000007,0.03400000000000003,0.06799999999999995,0.055999999999999994,0.06000000000000005,0.07800000000000007]",
3,alibi,,no_ejection_rate,sharp_credibility minus mean,10,0.06520000000000001,0.014335658726096653,0.040000000000000036,0.08400000000000002,"[0.04200000000000004,0.07,0.08400000000000002,0.06999999999999995,0.07400000000000007,0.040000000000000036,0.06799999999999995,0.057999999999999996,0.07600000000000007,0.07000000000000006]",catch_outside
3,alibi,soft_credibility,coalition_favorable_rate,alibi_off minus baseline,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",
3,alibi,,coalition_favorable_rate,soft_credibility minus mean,10,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",alibi_off
