figure,group,table,cell,metric,row,column,n_seeds,mean,sd
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C5|D3,coalition_game_win_rate,C5,D3,10,0.6512,0.08153635862471281
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C5|D4,coalition_game_win_rate,C5,D4,10,0.36439999999999995,0.12628644688432195
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C5|D5,coalition_game_win_rate,C5,D5,10,0.8082,0.050784512074712955
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C5|D6,coalition_game_win_rate,C5,D6,10,0.24620000000000003,0.11004827223642462
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C5|D7,coalition_game_win_rate,C5,D7,10,0.6706000000000001,0.1326718591948655
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C5|D8,coalition_game_win_rate,C5,D8,10,0.4306,0.16837537428812643
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C5|D9,coalition_game_win_rate,C5,D9,10,0.5624,0.20811492551526
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C5|D10,coalition_game_win_rate,C5,D10,10,0.5084000000000001,0.15931464325527506
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C6|D0,coalition_game_win_rate,C6,D0,10,0.24219999999999997,0.018748629579548242
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C6|D1,coalition_game_win_rate,C6,D1,10,0.7582,0.13758052187719014
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C6|D2,coalition_game_win_rate,C6,D2,10,0.5758,0.13261958963726117
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C6|D3,coalition_game_win_rate,C6,D3,10,0.4640000000000001,0.12913042502317829
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C6|D4,coalition_game_win_rate,C6,D4,10,0.6824,0.05778734963448123
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C6|D5,coalition_game_win_rate,C6,D5,10,0.4518,0.16064716340823176
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C6|D6,coalition_game_win_rate,C6,D6,10,0.791,0.08048326258021325
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C6|D7,coalition_game_win_rate,C6,D7,10,0.3314,0.1827689494659552
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C6|D8,coalition_game_win_rate,C6,D8,10,0.6414000000000002,0.14408037880140223
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C6|D9,coalition_game_win_rate,C6,D9,10,0.3774,0.14234246652976676
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C6|D10,coalition_game_win_rate,C6,D10,10,0.7005999999999999,0.052145522871628734
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C7|D0,coalition_game_win_rate,C7,D0,10,0.1814,0.04469203259841488
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C7|D1,coalition_game_win_rate,C7,D1,10,0.7816,0.08645512644654967
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C7|D2,coalition_game_win_rate,C7,D2,10,0.47539999999999993,0.13988264922982965
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C7|D3,coalition_game_win_rate,C7,D3,10,0.5035999999999999,0.1548326695357138
finite_crossplay.pdf,multigen_none_n7_r8_k10,crossplay,C7|D4,coalition_game_win_rate,C7,D4,10,0.48599999999999993,0.19783045490745071
