analysis_status,job,group,seed,metric,generation,gap,best_observed_coalition,best_observed_defender,mc_low,mc_high,simultaneous_cell_epsilon,episodes_per_cell,pool_size
complete,multigen_none_n7_r8_k10_s2,multigen_none_n7_r8_k10,2,any_false_ejection_rate,3,0.592,3,0,0.4077754630923374,0.7762245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s2,multigen_none_n7_r8_k10,2,any_false_ejection_rate,4,0.5680000000000001,9,0,0.3837754630923375,0.7522245369076626,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s2,multigen_none_n7_r8_k10,2,any_false_ejection_rate,5,0.6000000000000001,0,0,0.41577546309233754,0.7842245369076626,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s2,multigen_none_n7_r8_k10,2,any_false_ejection_rate,6,0.66,4,0,0.47577546309233754,0.8341122684538312,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s2,multigen_none_n7_r8_k10,2,any_false_ejection_rate,7,0.686,7,0,0.5017754630923374,0.8702245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s2,multigen_none_n7_r8_k10,2,any_false_ejection_rate,8,0.692,0,0,0.5077754630923375,0.8762245369076624,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s2,multigen_none_n7_r8_k10,2,any_false_ejection_rate,9,0.628,9,0,0.4437754630923375,0.8122245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s2,multigen_none_n7_r8_k10,2,any_false_ejection_rate,10,0.6140000000000001,10,0,0.42977546309233755,0.7982245369076626,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s2,multigen_none_n7_r8_k10,2,coalition_game_win_rate,0,0.7899999999999999,0,9,0.6057754630923374,0.9441122684538312,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s2,multigen_none_n7_r8_k10,2,coalition_game_win_rate,1,0.772,1,0,0.5877754630923375,0.9562245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s2,multigen_none_n7_r8_k10,2,coalition_game_win_rate,2,0.658,2,3,0.47377546309233753,0.8422245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s2,multigen_none_n7_r8_k10,2,coalition_game_win_rate,3,0.66,3,9,0.47577546309233754,0.8442245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s2,multigen_none_n7_r8_k10,2,coalition_game_win_rate,4,0.646,9,0,0.46177546309233747,0.8302245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s2,multigen_none_n7_r8_k10,2,coalition_game_win_rate,5,0.6599999999999999,5,9,0.4757754630923375,0.8442245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s2,multigen_none_n7_r8_k10,2,coalition_game_win_rate,6,0.504,6,0,0.3197754630923375,0.6882245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s2,multigen_none_n7_r8_k10,2,coalition_game_win_rate,7,0.6819999999999999,7,0,0.49777546309233744,0.8662245369076624,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s2,multigen_none_n7_r8_k10,2,coalition_game_win_rate,8,0.74,8,0,0.5557754630923375,0.9242245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s2,multigen_none_n7_r8_k10,2,coalition_game_win_rate,9,0.586,9,3,0.40177546309233747,0.7702245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s2,multigen_none_n7_r8_k10,2,coalition_game_win_rate,10,0.6980000000000001,10,0,0.5137754630923376,0.8822245369076626,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s3,multigen_none_n7_r8_k10,3,any_false_ejection_rate,0,0.28,0,6,0.09577546309233753,0.3901122684538313,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s3,multigen_none_n7_r8_k10,3,any_false_ejection_rate,1,0.5,1,0,0.3157754630923375,0.6842245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s3,multigen_none_n7_r8_k10,3,any_false_ejection_rate,2,0.6539999999999999,2,0,0.4697754630923375,0.8382245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s3,multigen_none_n7_r8_k10,3,any_false_ejection_rate,3,0.594,3,0,0.4097754630923375,0.7782245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s3,multigen_none_n7_r8_k10,3,any_false_ejection_rate,4,0.5720000000000001,6,0,0.3877754630923375,0.7562245369076626,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s3,multigen_none_n7_r8_k10,3,any_false_ejection_rate,5,0.706,0,0,0.5217754630923375,0.8902245369076626,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s3,multigen_none_n7_r8_k10,3,any_false_ejection_rate,6,0.5760000000000001,6,0,0.3917754630923376,0.7461122684538313,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s3,multigen_none_n7_r8_k10,3,any_false_ejection_rate,7,0.594,7,0,0.4097754630923375,0.7782245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s3,multigen_none_n7_r8_k10,3,any_false_ejection_rate,8,0.646,8,0,0.46177546309233747,0.8302245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s3,multigen_none_n7_r8_k10,3,any_false_ejection_rate,9,0.692,0,0,0.5077754630923375,0.8762245369076626,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s3,multigen_none_n7_r8_k10,3,any_false_ejection_rate,10,0.6,0,0,0.4157754630923375,0.7842245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s3,multigen_none_n7_r8_k10,3,coalition_game_win_rate,0,0.76,0,1,0.5757754630923375,0.8781122684538313,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s3,multigen_none_n7_r8_k10,3,coalition_game_win_rate,1,0.646,9,6,0.46177546309233747,0.8302245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s3,multigen_none_n7_r8_k10,3,coalition_game_win_rate,2,0.734,2,0,0.5497754630923375,0.9182245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s3,multigen_none_n7_r8_k10,3,coalition_game_win_rate,3,0.64,3,4,0.45577546309233746,0.8242245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s3,multigen_none_n7_r8_k10,3,coalition_game_win_rate,4,0.576,4,0,0.39177546309233746,0.7602245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s3,multigen_none_n7_r8_k10,3,coalition_game_win_rate,5,0.58,5,0,0.39577546309233747,0.7642245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s3,multigen_none_n7_r8_k10,3,coalition_game_win_rate,6,0.714,6,7,0.5297754630923375,0.8982245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s3,multigen_none_n7_r8_k10,3,coalition_game_win_rate,7,0.6859999999999999,7,0,0.5017754630923374,0.8702245369076624,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s3,multigen_none_n7_r8_k10,3,coalition_game_win_rate,8,0.6619999999999999,8,0,0.4777754630923374,0.8462245369076624,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s3,multigen_none_n7_r8_k10,3,coalition_game_win_rate,9,0.708,9,0,0.5237754630923375,0.8922245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s3,multigen_none_n7_r8_k10,3,coalition_game_win_rate,10,0.5940000000000001,10,0,0.40977546309233753,0.7782245369076626,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s4,multigen_none_n7_r8_k10,4,any_false_ejection_rate,0,0.20399999999999996,0,6,0.019775463092337464,0.32211226845383123,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s4,multigen_none_n7_r8_k10,4,any_false_ejection_rate,1,0.652,1,0,0.4677754630923375,0.8362245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s4,multigen_none_n7_r8_k10,4,any_false_ejection_rate,2,0.5860000000000001,2,0,0.4017754630923375,0.7702245369076626,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s4,multigen_none_n7_r8_k10,4,any_false_ejection_rate,3,0.626,0,0,0.44177546309233745,0.8102245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s4,multigen_none_n7_r8_k10,4,any_false_ejection_rate,4,0.622,4,0,0.43777546309233745,0.8062245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s4,multigen_none_n7_r8_k10,4,any_false_ejection_rate,5,0.6539999999999999,9,0,0.4697754630923375,0.8382245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s4,multigen_none_n7_r8_k10,4,any_false_ejection_rate,6,0.5840000000000001,6,0,0.3997754630923375,0.7682245369076626,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s4,multigen_none_n7_r8_k10,4,any_false_ejection_rate,7,0.622,9,0,0.4377754630923375,0.8062245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s4,multigen_none_n7_r8_k10,4,any_false_ejection_rate,8,0.516,8,0,0.33177546309233746,0.7002245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s4,multigen_none_n7_r8_k10,4,any_false_ejection_rate,9,0.624,9,0,0.4397754630923375,0.8082245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s4,multigen_none_n7_r8_k10,4,any_false_ejection_rate,10,0.53,10,0,0.34577546309233753,0.7142245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s4,multigen_none_n7_r8_k10,4,coalition_game_win_rate,0,0.8019999999999999,0,9,0.6177754630923374,0.9241122684538312,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s4,multigen_none_n7_r8_k10,4,coalition_game_win_rate,1,0.726,1,0,0.5417754630923375,0.9102245369076626,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s4,multigen_none_n7_r8_k10,4,coalition_game_win_rate,2,0.5720000000000001,2,0,0.3877754630923375,0.7562245369076626,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s4,multigen_none_n7_r8_k10,4,coalition_game_win_rate,3,0.6599999999999999,3,0,0.4757754630923374,0.8442245369076624,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s4,multigen_none_n7_r8_k10,4,coalition_game_win_rate,4,0.632,4,0,0.4477754630923375,0.8162245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s4,multigen_none_n7_r8_k10,4,coalition_game_win_rate,5,0.5519999999999999,5,0,0.36777546309233744,0.7362245369076624,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s4,multigen_none_n7_r8_k10,4,coalition_game_win_rate,6,0.6859999999999999,6,9,0.5017754630923374,0.8702245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s4,multigen_none_n7_r8_k10,4,coalition_game_win_rate,7,0.706,9,6,0.5217754630923375,0.8902245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s4,multigen_none_n7_r8_k10,4,coalition_game_win_rate,8,0.6459999999999999,8,9,0.46177546309233747,0.8302245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s4,multigen_none_n7_r8_k10,4,coalition_game_win_rate,9,0.68,9,6,0.49577546309233755,0.8642245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s4,multigen_none_n7_r8_k10,4,coalition_game_win_rate,10,0.55,10,0,0.36577546309233755,0.7342245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s5,multigen_none_n7_r8_k10,5,any_false_ejection_rate,0,0.248,0,8,0.0637754630923375,0.36811226845383127,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s5,multigen_none_n7_r8_k10,5,any_false_ejection_rate,1,0.636,1,0,0.45177546309233746,0.8202245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s5,multigen_none_n7_r8_k10,5,any_false_ejection_rate,2,0.6179999999999999,2,0,0.43377546309233744,0.8022245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s5,multigen_none_n7_r8_k10,5,any_false_ejection_rate,3,0.61,3,0,0.4257754630923375,0.7942245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s5,multigen_none_n7_r8_k10,5,any_false_ejection_rate,4,0.644,4,0,0.4597754630923375,0.8282245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s5,multigen_none_n7_r8_k10,5,any_false_ejection_rate,5,0.638,5,0,0.45377546309233746,0.8222245369076625,0.09211226845383126,500,11
complete,multigen_none_n7_r8_k10_s5,multigen_none_n7_r8_k10,5,any_false_ejection_rate,6,0.61,0,0,0.4257754630923375,0.7942245369076625,0.09211226845383126,500,11
